"anio";"mes";"fecha";"tipo_dia";"demanda";"temperatura";"temp2";"es_habil";"pred";"lag1"
"2017";"01";2017-01-01;"Domingo o Feriado";15693,6860833333;31,3;979,69;0;20113,0726542059;NA
"2017";"01";2017-01-02;"Lunes habiles";17209,160125;25,35;642,6225;1;16800,3441162211;15693,6860833333
"2017";"01";2017-01-03;"Martes Habiles";18003,374875;25,45;647,7025;1;16861,8186555495;17209,160125
"2017";"01";2017-01-04;"Miercoles habiles";16951,457125;27;729;1;17922,9818356371;18003,374875
"2017";"01";2017-01-05;"Jueves Habiles";15638,7704583333;21,9;479,61;1;15198,1430984671;16951,457125
"2017";"01";2017-01-06;"Viernes habiles";15754,5207916667;24,3;590,49;1;16205,9979902245;15638,7704583333
"2017";"01";2017-01-07;"Sabado o Semilaborable";16580,5009583333;29,1;846,81;0;17866,2198197048;15754,5207916667
"2017";"01";2017-01-08;"Domingo o Feriado";14579,2154583333;25,9;670,81;0;15329,8626716578;16580,5009583333
"2017";"01";2017-01-09;"Lunes habiles";16774,861125;25,55;652,8025;1;16924,1401768563;14579,2154583333
"2017";"01";2017-01-10;"Martes Habiles";15137,6607916667;22,4;501,76;1;15367,8812236053;16774,861125
"2017";"01";2017-01-11;"Miercoles habiles";16222,142375;25,6;655,36;1;16955,6185557516;15137,6607916667
"2017";"01";2017-01-12;"Jueves Habiles";18235,685;27,15;737,1225;1;18036,4740668389;16222,142375
"2017";"01";2017-01-13;"Viernes habiles";18482,2629583333;26,5;702,25;1;17558,4378554478;18235,685
"2017";"01";2017-01-14;"Sabado o Semilaborable";15427,347625;23;529;0;13780,4445662082;18482,2629583333
"2017";"01";2017-01-15;"Domingo o Feriado";13605,14975;22,05;486,2025;0;13427,7683954621;15427,347625
"2017";"01";2017-01-16;"Lunes habiles";15747,4140833333;24,1;580,81;1;16103,3764790515;13605,14975
"2017";"01";2017-01-17;"Martes Habiles";17499,5990833333;28,2;795,24;1;18884,2795498965;15747,4140833333
"2017";"01";2017-01-18;"Miercoles habiles";18030,42275;25,45;647,7025;1;16861,8186555494;17499,5990833333
"2017";"01";2017-01-19;"Jueves Habiles";19205,8874166667;28;784;1;18715,5934444018;18030,42275
"2017";"01";2017-01-20;"Viernes habiles";19485,4329583333;28,4;806,56;1;19056,3535833052;19205,8874166667
"2017";"01";2017-01-21;"Sabado o Semilaborable";18373,2077083333;29,1;846,81;0;17866,2198197048;19485,4329583333
"2017";"01";2017-01-22;"Domingo o Feriado";16739,3644166667;27,8;772,84;0;16731,2224539681;18373,2077083333
"2017";"01";2017-01-23;"Lunes habiles";18515,801;28,05;786,8025;1;18757,4473525335;16739,3644166667
"2017";"01";2017-01-24;"Martes Habiles";18557,3045833333;26,6;707,56;1;17629,6526875287;18515,801
"2017";"01";2017-01-25;"Miercoles habiles";16286,7044166667;21,4;457,96;1;15049,5795227909;18557,3045833333
"2017";"01";2017-01-26;"Jueves Habiles";15144,2470833333;18,6;345,96;1;14608,9291730636;16286,7044166667
"2017";"01";2017-01-27;"Viernes habiles";15434,8504166667;19,8;392,04;1;14716,4690530124;15144,2470833333
"2017";"01";2017-01-28;"Sabado o Semilaborable";15067,0544583333;24,35;592,9225;0;14413,1099189015;15434,8504166667
"2017";"01";2017-01-29;"Domingo o Feriado";15088,3286666667;27,7;767,29;0;16649,8438381454;15067,0544583333
"2017";"01";2017-01-30;"Lunes habiles";19224,1875833333;29,7;882,09;1;20257,4155433635;15088,3286666667
"2017";"01";2017-01-31;"Martes Habiles";19173,7997916667;26,5;702,25;1;17558,4378554478;19224,1875833333
"2017";"02";2017-02-01;"Miercoles habiles";17267,834625;24,7;610,09;1;16421,4047963125;19173,7997916667
"2017";"02";2017-02-02;"Jueves Habiles";16974,2518333333;24,1;580,81;1;16103,3764790515;17267,834625
"2017";"02";2017-02-03;"Viernes habiles";17350,15375;24,65;607,6225;1;16393,7378363203;16974,2518333333
"2017";"02";2017-02-04;"Sabado o Semilaborable";15205,4185833333;25,4;645,16;0;15011,9027002851;17350,15375
"2017";"02";2017-02-05;"Domingo o Feriado";11800,7094583333;19,35;374,4225;0;12842,7759642918;15205,4185833333
"2017";"02";2017-02-06;"Lunes habiles";13469,8129166667;19,3;372,49;1;14656,8385850769;11800,7094583333
"2017";"02";2017-02-07;"Martes Habiles";14425,2945;20;400;1;14746,2501140359;13469,8129166667
"2017";"02";2017-02-08;"Miercoles habiles";15451,7884583333;23,5;552,25;1;15815,8395130158;14425,2945
"2017";"02";2017-02-09;"Jueves Habiles";16086,5835;25,05;627,5025;1;16621,002390107;15451,7884583333
"2017";"02";2017-02-10;"Viernes habiles";15861,855875;25,6;655,36;1;16955,6185557516;16086,5835
"2017";"02";2017-02-11;"Sabado o Semilaborable";14065,9086666667;23,95;573,6025;0;14209,5608605123;15861,855875
"2017";"02";2017-02-12;"Domingo o Feriado";12820,1318333333;22,1;488,41;0;13444,424589734;14065,9086666667
"2017";"02";2017-02-13;"Lunes habiles";14744,0555833333;22,4;501,76;1;15367,8812236053;12820,1318333333
"2017";"02";2017-02-14;"Martes Habiles";15581,5759166667;22,95;526,7025;1;15579,049765886;14744,0555833333
"2017";"02";2017-02-15;"Miercoles habiles";16895,457625;26,3;691,69;1;17418,5491372215;15581,5759166667
"2017";"02";2017-02-16;"Jueves Habiles";17744,0235833333;27;729;1;17922,9818356371;16895,457625
