"fecha";"real";"pred"
2024-01-01;13343,8;14016,170728996
2024-01-02;16869,5;15251,799109318
2024-01-03;17785,1;17058,1992837109
2024-01-04;18320,6;17628,7866131248
2024-01-05;19096,8;18517,5493553479
2024-01-06;17531,1;17407,6137625457
2024-01-07;15792,9;16141,8256243837
2024-01-08;17285,8;16460,5250051982
2024-01-09;18723,5;18239,3970342111
2024-01-10;18507,3;19086,0916131787
2024-01-11;16673,3;17509,1946807159
2024-01-12;16163,8;16045,288049116
2024-01-13;16304,2;15368,5977808291
2024-01-14;16059,7;15519,2179806169
2024-01-15;17993,7;17097,2781259413
2024-01-16;17217,1;17059,0965362078
2024-01-17;17031;16703,5973413065
2024-01-18;18165,5;17413,2285431894
2024-01-19;18413,8;18008,1221797674
2024-01-20;16295,6;15340,6155295601
2024-01-21;14509,8;14528,1275990758
2024-01-22;16771,1;15599,550879304
2024-01-23;17624,1;16731,7866662839
2024-01-24;17658,4;17372,9230351159
2024-01-25;18739,6;17731,6114885797
2024-01-26;18891,7;18167,7758125482
2024-01-27;17567,7;16581,4200186464
2024-01-28;16701,2;15909,5376155595
2024-01-29;19834,9;17739,5738830419
2024-01-30;21241;20227,8820108155
2024-01-31;22311,9;21409,7498505481
2024-02-01;23128,3;22865,192166893
2024-02-02;23103,8;22749,2778625983
2024-02-03;21015,8;21714,9155149595
2024-02-04;16725,9;16801,4753616387
2024-02-05;20026;17537,9029387169
2024-02-06;21703,5;20623,8863420779
2024-02-07;22526,7;21364,7210376556
2024-02-08;21848;21673,9706948928
2024-02-09;19105,6;19876,8585463589
2024-02-10;17939,3;17669,7291754947
2024-02-11;18097,3;17077,8738531985
2024-02-12;16034,2;15931,0663393461
2024-02-13;12932,1;13725,3366597529
2024-02-14;14648,1;13995,0167009005
2024-02-15;16067,1;15579,7972891012
2024-02-16;17380,5;16905,029617415
2024-02-17;17024,2;15986,029291279
2024-02-18;16172,8;15884,5920970992
2024-02-19;18803,7;17074,8146879615
2024-02-20;19889,4;18655,2992256403
2024-02-21;20593,7;19491,8184536533
2024-02-22;20453,4;19781,5054954908
2024-02-23;18003,1;19055,9153111241
2024-02-24;15524,8;15394,6224655945
2024-02-25;14178,6;14136,9743088195
2024-02-26;16510,1;14968,4348444391
2024-02-27;17873,5;16841,4697057666
2024-02-28;19243,2;17783,9680551546
2024-02-29;18911,3;18632,932309138
2024-03-01;18803,7;18164,4895037455
2024-03-02;17810,4;17037,3901173678
2024-03-03;13611,3;14906,1043679226
2024-03-04;15292,6;14491,4331259651
2024-03-05;15537,9;15199,3201688869
2024-03-06;15521,3;15460,3732581809
2024-03-07;16681,2;16191,1342769423
2024-03-08;18225,3;17432,9347983581
2024-03-09;17099,1;16722,3917079431
2024-03-10;15357;15246,9528757154
2024-03-11;17775,1;15733,8105256639
2024-03-12;18176,4;16479,1314663709
2024-03-13;18107,4;16943,1598676546
2024-03-14;17667,9;16837,6206240704
2024-03-15;16830,1;17068,9074358574
2024-03-16;15833,7;15629,2903308632
2024-03-17;14149,8;14386,338742328
2024-03-18;16841,1;15463,4698960168
2024-03-19;17868,9;16737,087839509
2024-03-20;17747,7;16746,0870528969
2024-03-21;14497,5;16272,0889456365
2024-03-22;13928,1;14698,3403652472
2024-03-23;13114,3;12838,1299712396
2024-03-24;13229,6;13303,700355788
2024-03-25;15967,1;14422,3977813683
2024-03-26;16361,9;15732,4376319434
2024-03-27;16373,3;16350,085140369
2024-03-28;16024,4;14701,6759811384
2024-03-29;14807,6;14701,5812604605
2024-03-30;15571,7;14841,0610296051
2024-03-31;13380;13770,0445976881
2024-04-01;12615,5;12377,3301254881
2024-04-02;12494,2;12012,9351774545
2024-04-03;14371;13606,1500554541
2024-04-04;14596,3;14561,2415770308
2024-04-05;14756,5;14839,5383740252
2024-04-06;13541,2;13176,0737783166
2024-04-07;12362,8;12662,5519842866
2024-04-08;14251,7;13857,8642587039
2024-04-09;14839,2;15074,3525208582
2024-04-10;14159,3;14855,4941962104
2024-04-11;14083;14592,9260729382
2024-04-12;14278,9;14432,3568022425
2024-04-13;13381,6;12833,4324891791
2024-04-14;12520,4;12478,3614550507
2024-04-15;14151,5;13955,6848399761
2024-04-16;14152,1;14450,8273251266
2024-04-17;14001,5;14454,7821877655
2024-04-18;13989,3;14381,3077671019
2024-04-19;13945,2;14777,3295219183
2024-04-20;13042,3;13248,7211503242
2024-04-21;12521,9;12416,5408083428
2024-04-22;14372;13623,806836699
2024-04-23;14459,4;14586,4288242153
2024-04-24;14407,9;14776,1419074097
2024-04-25;14632;14671,0597216045
2024-04-26;14852,2;14690,3831984578
2024-04-27;13864,3;13503,2011758113
2024-04-28;12783;12928,6126667729
2024-04-29;14596,6;13925,4291728669
2024-04-30;14848,4;14693,1145530122
2024-05-01;13150,3;13311,5683874028
2024-05-02;14836,6;14626,1403288933
2024-05-03;15445,9;15991,2852593724
2024-05-04;14030,2;13985,9557749533
2024-05-05;12647,1;12713,9739437103
2024-05-06;14543,2;13739,5287371606
2024-05-07;15061,6;14646,4326274577
2024-05-08;15224,6;15056,7533729123
2024-05-09;15145,4;15744,8885722219
2024-05-10;15575,9;15469,5969998861
2024-05-11;14727,3;13763,4679994285
2024-05-12;14752,3;14394,07728253
2024-05-13;17266,4;16556,0881571915
2024-05-14;17921;17852,892640172
2024-05-15;17873,7;17345,1701916657
2024-05-16;17359,4;16876,795738004
